Portfolio,Geography,Category,Brand,Segment,Initial Sales,Margin (%),Trend (%),Contribution (%),Min Trend (%),Max Trend (%),Min Contribution (%),Max Contribution (%),lowSales,highSales
Global Cosmetics,North America,Makeup,BobbiBrown_NA,Lipstick_NA,2500000,18,5,30,2,20,22.5,100,2425000,2875000
Global Cosmetics,North America,Makeup,BobbiBrown_NA,Mascara_NA,1500000,15,2,25,9,18,18.75,100,1425000,1694999.9999999998
Global Cosmetics,North America,Makeup,BobbiBrown_NA,Bronzer_NA,800000,20,3,15,3,20,11.25,100,776000,920000
Global Cosmetics,Europe,Makeup,BobbiBrown_EU,Lipstick_EU,2000000,18,6,30,4,22,22.5,100,1940000,2340000
Global Cosmetics,Asia,Fragrance,Kilian_Asia,Perfume_Asia,3000000,25,10,40,5,25,30,100,2910000,3600000
Global Cosmetics,Asia,Fragrance,Kilian_Asia,BodyWash_Asia,1000000,22,4,20,5,20,15,100,950000,1150000
Hair/Body,North America,Hair,Aveda_NA,Shampoo_NA,2200000,12,1,30,8,15,22.5,100,2134000,2420000
Hair/Body,North America,Hair,Aveda_NA,Conditioner_NA,1800000,13,2,25,5,15,18.75,100,1746000,1980000
Hair/Body,Europe,Hair,Aveda_EU,HairDye_EU,1500000,20,3,20,3,15,15,100,1455000,1650000.0000000002
Hair/Body,South America,Hair,ElizArden_SA,HairDye_SA,1000000,18,-2,15,6,12,11.25,100,920000,1070000
